Kodas;P-LT;P- Lv;P- EE;Sudëtis;Sudëtis LV;Sudëtis EE;Pirk. Kaina;Gamintojas Lt;Gamintojas Lv;Gamintojas EE;Pard. K- LT;Pard. K- LV;Pard. K- EE;Dydis;Ûgis;LT- EUR;Spalva;Gaminio paskirtis;Firma;Bendras kiekis;kiekis lt;kiekis lv;kiekis est;Didmena;PASTABOS;Registras 3;;poros lt;poros lv;poros est;grupe;EST savikaina;estijos numeris;BARKODAS
M-11K-A-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-11K-B-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-11K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-11K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-11K-E-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-11K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-11K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-11K-G-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-11K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-11K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-11K-J-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-11K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-11K-Z-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-14K-A-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-14K-B-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-14K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-14K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-14K-E-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-14K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-14K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-14K-G-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-14K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-14K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-14K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
