Kodas;Pavadinimas;Vnt.;Kaina;Kiekis;Suma;Sandëlis;Registras 3
CHC-98-A;Chalatas;vnt;13,9900;1,0000;13,9900;AREN;
CHC-98-G;Chalatas;vnt;13,9900;1,0000;13,9900;AREN;
DJ-87-3D004;Dþinsai;vnt;20,9900;3,0000;62,9700;AREN;
DJ-87-RE6009;Dþinsai;vnt;22,9900;4,0000;91,9600;AREN;
DJ-88-3D063;Dþinsai;vnt;22,9900;3,0000;68,9700;AREN;
DJ-88-S306;Dþinsai;vnt;21,9900;3,0000;65,9700;AREN;
DJ-8K-9175;Dþinsai;vnt;19,9900;5,0000;99,9500;AREN;
DJ-93-DJ355;Dþinsai;vnt;18,9900;5,0000;94,9500;AREN;
DJ-94-3D623;Dþinsai;vnt;21,9900;2,0000;43,9800;AREN;
DJ-97-Q556-3;Dþinsai;vnt;18,9900;7,0000;132,9300;AREN;
DJO-94-J288;Dþinsai;vnt;17,9900;1,0000;17,9900;AREN;
DJT-88-81381;Dþinsai;vnt;12,9900;2,0000;25,9800;AREN;
DJT-99-8194;Dþinsai;vnt;15,9900;12,0000;191,8800;AREN;
DM-81-9336;Dþinsai;vnt;14,9900;2,0000;29,9800;AREN;
DM-82-LD109;Dþinsai;vnt;17,9900;3,0000;53,9700;AREN;
DM-84-9382;Dþinsai;vnt;16,9900;2,0000;33,9800;AREN;
DM-85-A9546;Dþinsai;vnt;14,9900;6,0000;89,9400;AREN;
DM-87-7623;Dþinsai;vnt;15,9900;2,0000;31,9800;AREN;
DM-87-W9615;Dþinsai;vnt;16,9900;1,0000;16,9900;AREN;
DM-8K-511;Dþinsai;vnt;15,9900;2,0000;31,9800;AREN;
DM-8K-836;Dþinsai;vnt;15,9900;3,0000;47,9700;AREN;
DM-8K-M861;Dþinsai;vnt;15,9900;1,0000;15,9900;AREN;
DM-91-7118;Dþinsai;vnt;16,9900;1,0000;16,9900;AREN;
DM-91-7801;Dþinsai;vnt;14,9900;3,0000;44,9700;AREN;
DM-91-7803;Dþinsai;vnt;14,9900;1,0000;14,9900;AREN;
DM-91-YA01;Dþinsai;vnt;20,9900;7,0000;146,9300;AREN;
DM-91-YA03;Dþinsai;vnt;20,9900;3,0000;62,9700;AREN;
DM-91-Z1176;Dþinsai;vnt;21,9900;7,0000;153,9300;AREN;
DM-92-1555;Dþinsai;vnt;15,9900;1,0000;15,9900;AREN;
DM-92-3066;Dþinsai;vnt;21,9900;6,0000;131,9400;AREN;
DM-92-7125;Dþinsai;vnt;16,9900;1,0000;16,9900;AREN;
DM-92-CS064;Dþinsai;vnt;21,9900;4,0000;87,9600;AREN;
DM-93-K1809;Dþinsai;vnt;14,9900;1,0000;14,9900;AREN;
DM-93-LG801;Dþinsai;vnt;16,9900;6,0000;101,9400;AREN;
