Prekë;Pavadinimas;Barkodas;Grupë;Vartotojas;Sandëlis;Kiekis;Pard. kaina<br>(be PVM);Pard. suma;PVM proc.;PVM suma;Suma;Grupës pav.
KLFG-B536;Kelnaitës;KLFG-B536;KELNAITES;-;-;3333;20,0000;1,5000;30,0000;0,0000;0,0000;30,0000;"Moteriðkos kelnaitës"
KLJ1-B5664;Kelnaitës;KLJ1-B5664;KELNAITES;-;-;3333;24,0000;0,4000;9,6000;0,0000;0,0000;9,6000;"Moteriðkos kelnaitës"
KLJ1-B6003;Kelnaitës;KLJ1-B6003;KELNAITES;-;-;3333;24,0000;0,4000;9,6000;0,0000;0,0000;9,6000;"Moteriðkos kelnaitës"
KLJ1-B6004;Kelnaitës;KLJ1-B6004;KELNAITES;-;-;3333;24,0000;0,4000;9,6000;0,0000;0,0000;9,6000;"Moteriðkos kelnaitës"
KLJ1-B6005;Kelnaitës;KLJ1-B6005;KELNAITES;-;-;3333;24,0000;0,4000;9,6000;0,0000;0,0000;9,6000;"Moteriðkos kelnaitës"
KLJ1-LILI;Kelnaitës;KLJ1-LILI;KELNAITES;-;-;3333;24,0000;0,4000;9,6000;0,0000;0,0000;9,6000;"Moteriðkos kelnaitës"
KLJ4-B1866;Kelnaitës;KLJ4-B1866;KELNAITES;-;-;3333;24,0000;0,7500;18,0000;0,0000;0,0000;18,0000;"Moteriðkos kelnaitës"
KLJ4-B809;Kelnaitës;KLJ4-B809;KELNAITES;-;-;3333;24,0000;0,7500;18,0000;0,0000;0,0000;18,0000;"Moteriðkos kelnaitës"
KLM1-B1066;Kelnaitës;KLM1-B1066;KELNAITES;-;-;3333;24,0000;0,4000;9,6000;0,0000;0,0000;9,6000;"Moteriðkos kelnaitës"
KLM1-K42502;Kelnaitës;KLM1-K42502;KELNAITES;-;-;3333;10,0000;0,4000;4,0000;0,0000;0,0000;4,0000;"Moteriðkos kelnaitës"
KLM1-K42508;Kelnaitës;KLM1-K42508;KELNAITES;-;-;3333;12,0000;0,4000;4,8000;0,0000;0,0000;4,8000;"Moteriðkos kelnaitës"
KLM1-K42510;Kelnaitës;KLM1-K42510;KELNAITES;-;-;3333;10,0000;0,4000;4,0000;0,0000;0,0000;4,0000;"Moteriðkos kelnaitës"
KLM1-K42513;Kelnaitës;KLM1-K42513;KELNAITES;-;-;3333;12,0000;0,4000;4,8000;0,0000;0,0000;4,8000;"Moteriðkos kelnaitës"
KLM1-K42515;Kelnaitës;KLM1-K42515;KELNAITES;-;-;3333;12,0000;0,4000;4,8000;0,0000;0,0000;4,8000;"Moteriðkos kelnaitës"
KLM2-D3118;Kelnaitës;KLM2-D3118;KELNAITES;-;-;3333;24,0000;0,5000;12,0000;0,0000;0,0000;12,0000;"Moteriðkos kelnaitës"
KLM2-D3119;Kelnaitës;KLM2-D3119;KELNAITES;-;-;3333;72,0000;0,6000;43,2000;0,0000;0,0000;43,2000;"Moteriðkos kelnaitës"
KLM2-DB004;Kelnaitës;KLM2-DB004;KELNAITES;-;-;3333;24,0000;0,6000;14,4000;0,0000;0,0000;14,4000;"Moteriðkos kelnaitës"
KLM2-E3927;Kelnaitës;KLM2-E3927;KELNAITES;-;-;3333;24,0000;0,6000;14,4000;0,0000;0,0000;14,4000;"Moteriðkos kelnaitës"
KLM2-K8262;Kelnaitës;KLM2-K8262;KELNAITES;-;-;3333;40,0000;0,5000;20,0000;0,0000;0,0000;20,0000;"Moteriðkos kelnaitës"
KLM2-K924;Kelnaitës;KLM2-K924;KELNAITES;-;-;3333;40,0000;0,5000;20,0000;0,0000;0,0000;20,0000;"Moteriðkos kelnaitës"
KLM-3113;Kelnaitës;KLM-3113;KELNAITES;-;-;3333;24,0000;0,7500;18,0000;0,0000;0,0000;18,0000;"Moteriðkos kelnaitës"
KLM3-D3651;Kelnaitës;KLM3-D3651;KELNAITES;-;-;3333;24,0000;0,6000;14,4000;0,0000;0,0000;14,4000;"Moteriðkos kelnaitës"
KLM4-B3491;Kelnaitës;KLM4-B3491;KELNAITES;-;-;3333;24,0000;0,8500;20,4000;0,0000;0,0000;20,4000;"Moteriðkos kelnaitës"
KLM4-D307;Kelnaitës;KLM4-D307;KELNAITES;-;-;3333;24,0000;0,7500;18,0000;0,0000;0,0000;18,0000;"Moteriðkos kelnaitës"
KLM4-K1334;Kelnaitës;KLM4-K1334;KELNAITES;-;-;3333;24,0000;0,7500;18,0000;0,0000;0,0000;18,0000;"Moteriðkos kelnaitës"
KLM4-K464;Kelnaitës;KLM4-K464;KELNAITES;-;-;3333;40,0000;0,7500;30,0000;0,0000;0,0000;30,0000;"Moteriðkos kelnaitës"
